Index,datetime,holiday,workingday,atemp,humidity,casual,registered,total,isweekend,windspeed_0_10,windspeed_11_20,windspeed_21_30,windspeed_31_45,season_1,season_2,season_3,season_4,weather_1,weather_2,weather_3,weather_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,hour_reg_0_6,hour_reg_10_15,hour_reg_16_20,hour_reg_21_23,hour_reg_7_9,hour_cas_0_8,hour_cas_21_23,hour_cas_9_20
0,2011-01-01 00:00:00,0,0,-1.10083086609,1.00038477431,3,13,16,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,2011-01-01 01:00:00,0,0,-1.1908149968,0.94769362041,8,32,40,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,2011-01-01 02:00:00,0,0,-1.1908149968,0.94769362041,5,27,32,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,2011-01-01 03:00:00,0,0,-1.10083086609,0.684237850902,3,10,13,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,2011-01-01 04:00:00,0,0,-1.10083086609,0.684237850902,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,2011-01-01 05:00:00,0,0,-1.28020712664,0.684237850902,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6,2011-01-01 06:00:00,0,0,-1.1908149968,0.94769362041,2,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,2011-01-01 07:00:00,0,0,-1.28020712664,1.26384054382,1,2,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,2011-01-01 08:00:00,0,0,-1.10083086609,0.684237850902,1,7,8,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,2011-01-01 09:00:00,0,0,-0.742078344993,0.736929004803,8,6,14,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
